iter	Passed	Remaining
0	4	426
1	4	239
2	5	174
3	5	139
4	6	121
5	7	113
6	7	103
7	8	95
8	8	89
9	9	84
10	9	79
11	10	76
12	10	72
13	11	70
14	11	67
15	12	64
16	12	62
17	13	60
18	13	59
19	14	58
20	15	56
21	15	55
22	16	53
23	16	52
24	17	51
25	17	49
26	17	48
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	20	42
33	21	42
34	22	41
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	20
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
