iter	Passed	Remaining
0	89	89029
1	89	44803
2	90	30031
3	90	22635
4	91	18199
5	91	15237
6	92	13122
7	93	11555
8	93	10321
9	94	9332
10	94	8524
11	95	7850
12	95	7284
13	96	6813
14	97	6389
15	97	6016
16	98	5688
17	98	5395
18	99	5132
19	99	4896
20	100	4681
21	100	4485
22	101	4305
23	101	4140
24	102	3989
25	102	3848
26	103	3721
27	103	3606
28	104	3494
29	104	3389
30	105	3292
31	105	3200
32	106	3114
33	106	3032
34	107	2956
35	107	2883
36	108	2814
37	108	2749
38	109	2687
39	109	2628
40	110	2572
41	110	2521
42	111	2471
43	111	2424
44	112	2379
45	112	2335
46	113	2292
47	113	2252
48	114	2213
49	114	2175
50	114	2139
51	115	2104
52	115	2071
53	116	2039
54	116	2007
55	117	1977
56	117	1949
57	118	1922
58	118	1897
59	119	1871
60	120	1848
61	120	1825
62	121	1802
63	121	1780
64	122	1758
65	122	1736
66	123	1716
67	123	1695
68	124	1675
69	124	1656
70	125	1637
71	125	1619
72	126	1602
73	126	1587
74	127	1571
75	127	1555
76	128	1538
77	128	1523
78	129	1507
79	129	1492
80	130	1477
81	130	1463
82	131	1447
83	131	1433
84	131	1420
85	132	1407
86	133	1395
87	133	1384
88	134	1372
89	134	1360
90	135	1349
91	135	1337
92	136	1328
93	136	1318
94	137	1308
95	137	1297
96	138	1287
97	138	1277
98	139	1266
99	139	1257
100	140	1247
101	140	1239
102	141	1231
103	141	1222
104	142	1213
105	142	1204
106	143	1195
107	143	1187
108	144	1179
109	144	1171
110	145	1163
111	145	1155
112	146	1147
113	146	1139
114	147	1132
115	147	1125
116	148	1117
117	148	1110
118	149	1103
119	149	1096
120	150	1090
121	150	1082
122	150	1076
123	151	1069
124	151	1063
125	152	1057
126	152	1050
127	153	1044
128	153	1038
129	154	1032
130	154	1026
131	155	1021
132	155	1016
133	156	1011
134	156	1005
135	157	1000
136	157	994
137	158	989
138	158	984
139	159	978
140	159	973
141	160	967
142	160	962
143	161	957
144	161	952
145	162	948
146	162	943
147	163	939
148	163	935
149	164	930
150	164	926
151	165	922
152	165	917
153	166	913
154	166	908
155	167	904
156	167	900
157	168	896
158	168	891
159	169	887
160	169	882
161	169	879
162	170	875
163	171	871
164	171	867
165	172	864
166	172	860
167	173	857
168	173	853
169	174	849
170	174	846
171	175	842
172	175	839
173	176	835
174	176	831
175	177	828
176	177	825
177	178	822
178	178	819
179	179	815
180	179	812
181	180	809
182	180	806
183	181	802
184	181	799
185	181	796
186	182	793
187	182	790
188	183	787
189	183	784
190	184	781
191	185	778
192	185	775
193	186	773
194	186	770
195	187	767
196	187	764
197	188	761
198	188	759
199	189	756
200	189	753
201	190	750
202	190	748
203	191	745
204	191	742
205	192	740
206	192	738
207	193	736
208	193	733
209	194	731
210	194	728
211	195	726
212	195	723
213	196	721
214	196	718
215	197	716
216	197	713
217	198	711
218	198	708
219	199	706
220	199	704
221	200	702
222	201	700
223	201	698
224	201	695
225	202	693
226	202	691
227	203	688
228	203	686
229	204	684
230	204	682
231	205	679
232	205	677
233	206	675
234	206	673
235	207	671
236	208	669
237	208	668
238	209	666
239	209	664
240	210	662
241	210	659
242	211	657
243	211	655
244	212	653
245	212	651
246	213	649
247	213	647
248	214	646
249	214	644
250	215	642
251	215	640
252	216	638
253	216	636
254	217	634
255	217	633
256	218	631
257	218	629
258	219	627
259	219	625
260	220	623
261	220	622
262	221	620
263	221	618
264	222	617
265	223	615
266	223	614
267	224	612
268	224	610
269	225	608
270	225	606
